st_teff,st_logg,st_rad,st_dist,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,Rp_Rs
5670.0,4.523,0.821,0,9.286358079,3.49949,44791.0,17.61,95.03,796.0,0.377
6046.0,4.539,0.869,0,3.951405455,2.1862,2453.9,31.44,388.71,1133.0,1.276
5739.0,4.191,1.384,0,23.65369415,8.2183,3341.8,7.89,67.65,731.0,0.008
5739.0,4.191,1.384,0,13.23352214,6.7372,504.6,3.06,146.67,888.0,0.014
5739.0,4.191,1.384,0,6.15560285,4.9843,285.0,2.32,406.94,1146.0,0.235
5739.0,4.191,1.384,0,2.090811305,3.388,115.9,1.62,1718.04,1642.0,0.746
5847.0,4.191,1.402,0,3.180027898,3.5797,120.3,1.53,1066.86,1458.0,0.196
5739.0,4.191,1.384,0,50.4467417,7.159,370.3,2.67,24.64,568.0,0.379
4959.0,4.603,0.756,0,11.76307164,2.9076,1037.3,2.35,33.99,616.0,0.048
4959.0,4.603,0.756,0,56.2279271,3.57,862.7,2.37,4.22,366.0,0.7
4794.0,4.58,0.701,0,2.384052875,3.0918,1268.1,17.06,244.87,1010.0,1.178
4768.0,4.536,0.779,0,7.953547,2.6312,875.4,2.25,55.37,696.0,0.3
4768.0,4.536,0.779,0,4.14451656,2.3421,391.8,1.48,132.08,864.0,0.004
6072.0,4.47,0.988,0,4.859386384,2.2757,6044.3,38.33,364.23,1114.0,1.259
5386.0,4.553,0.793,0,10.526294577,2.5211,9768.0,8.24,61.16,713.0,0.644
5815.0,4.54,0.877,0,4.583520948,2.7055,3812.1,5.39,274.98,1038.0,0.045
5653.0,4.472,0.949,0,3.76181843,3.5176,510.6,2.66,372.62,1121.0,0.926
5015.0,4.499,0.826,0,8.20396958,2.9667,1024.4,3.01,71.5,742.0,0.823
5015.0,4.499,0.826,0,14.49645186,4.016,647.5,3.01,33.48,613.0,0.97
5251.0,4.581,0.817,0,6.54626149,2.75,655.9,2.19,101.78,810.0,0.644
4702.0,4.592,0.686,0,12.71809866,3.0957,1149.4,2.31,23.6,562.0,0.427
4702.0,4.592,0.686,0,36.06588163,4.3246,1563.8,2.64,5.88,397.0,0.26
6073.0,4.392,1.135,0,4.190425659,2.8589,2877.4,6.21,547.9,1234.0,0.458
5727.0,4.463,0.978,0,3.709870784,3.0694,2020.3,4.35,415.1,1151.0,0.023
5878.0,4.444,0.987,0,16.3297527,6.271,1187.5,3.75,66.08,727.0,0.791
5862.0,4.584,0.785,0,27.807566216,4.21587,25391.0,13.84,22.24,554.0,0.782
5510.0,4.222,1.238,0,80.8723469,11.195,3604.6,7.59,9.88,452.0,0.527
4968.0,4.575,0.704,0,3.166465862,2.9381,4357.2,26.82,196.31,954.0,1.266
5718.0,4.181,1.317,0,24.99324319,5.9409,269.6,2.29,60.88,712.0,0.686
5501.0,4.462,0.918,0,10.35533116,3.1775,750.6,2.47,86.22,777.0,0.029
5239.0,4.523,0.826,0,16.08518937,3.984,1442.4,3.68,33.43,613.0,0.867
4245.0,4.627,0.657,0,235.9986399,8.2284,20715.0,10.59,0.29,188.0,0.778
5103.0,4.562,0.787,0,7.49018305,2.7297,1123.6,2.56,76.06,753.0,0.02
5103.0,4.562,0.787,0,36.2761238,4.7865,1572.6,3.03,9.29,445.0,0.035
5103.0,4.562,0.787,0,17.46087931,2.2641,812.4,2.32,24.6,568.0,0.594
3593.0,4.757,0.491,0,56.0560754,4.685,1626.0,1.94,0.69,233.0,0.018
5522.0,4.586,0.747,0,41.408316686,5.0264,22839.0,11.38,9.93,453.0,0.377
6122.0,4.487,0.964,0,39.74893077,7.3051,15179.0,14.21,21.87,552.0,0.881
5237.0,4.572,0.826,0,5.715425977,2.5242,908.1,2.47,123.03,850.0,0.348
5626.0,3.907,2.057,0,49.18394185,11.3364,1646.2,8.2,47.4,669.0,0.035
5237.0,4.572,0.826,0,20.0261412,1.611,421.2,2.28,23.14,559.0,0.957
5697.0,4.46,0.903,0,13.61014819,2.594,5732.9,19.02,68.29,733.0,1.081
4947.0,4.516,0.802,0,10.44331991,2.743,1159.8,2.66,46.94,667.0,0.23
5265.0,4.58,0.81,0,2.237489571,1.8119,315.8,1.41,427.17,1160.0,0.128
5532.0,4.53,0.806,0,5.851520671,3.11058,33004.0,14.62,155.89,901.0,0.211
5895.0,4.503,0.94,0,3.167893418,2.1814,781.2,2.62,526.23,1221.0,0.026
5527.0,4.484,0.927,0,4.311780262,2.7251,1154.0,3.11,274.84,1038.0,0.196
5527.0,4.484,0.927,0,20.0504494,4.556,840.9,2.69,35.44,622.0,0.383
5527.0,4.484,0.927,0,9.76734503,1.6585,569.1,2.67,92.46,791.0,0.9
5453.0,4.342,1.062,0,119.0207044,8.1405,7430.5,8.98,4.25,366.0,0.076
5626.0,3.907,2.057,0,190.3200468,15.284,1141.7,7.78,7.8,426.0,0.812
6126.0,4.458,1.021,0,2.861159894,1.8832,1014.3,4.37,797.1,1355.0,0.965
5427.0,4.463,0.929,0,26.44439337,3.9783,1843.5,3.91,23.54,562.0,0.03
5427.0,4.463,0.929,0,51.53997972,6.3994,3644.3,5.51,9.67,450.0,0.183
5427.0,4.463,0.929,0,5.902245782,2.9003,702.3,2.43,173.74,926.0,0.209
5427.0,4.463,0.929,0,2.382951591,1.8876,391.6,1.86,583.01,1253.0,0.479
5067.0,4.585,0.75,0,21.02250608,4.1072,1772.5,3.07,17.48,521.0,0.036
5103.0,4.562,0.787,0,3.219814777,2.0642,488.2,1.69,234.93,998.0,0.06
4072.0,4.696,0.57,0,5.912273234,2.3254,961.4,1.73,27.72,585.0,0.17
4072.0,4.696,0.57,0,8.98581901,2.8606,881.3,1.65,15.9,509.0,0.008
5875.0,4.572,0.809,0,12.940668656,2.4845,42450.0,22.94,64.64,723.0,0.897
5670.0,4.206,1.264,0,20.5452375,2.517,218.5,2.41,71.57,742.0,0.95
5149.0,4.447,0.93,0,33.60123371,4.4056,7425.9,8.46,14.22,495.0,0.67
5149.0,4.447,0.93,0,6.76652928,2.9004,450.7,1.97,120.48,845.0,0.429
5754.0,4.345,1.122,0,4.347288783,2.1024,451.6,2.36,449.79,1174.0,0.025
4986.0,4.496,0.833,0,4.601811819,2.2607,755.9,2.35,152.91,896.0,0.567
4986.0,4.496,0.833,0,11.18719905,3.252,353.6,1.55,46.65,667.0,0.387
3837.0,4.747,0.517,0,4.220965778,3.0854,2260.0,2.62,29.68,595.0,0.705
5612.0,4.566,0.829,0,6.998099523,2.0488,20285.0,588.66,125.22,853.0,7.361
4261.0,4.641,0.633,0,5.95489993,2.3892,1410.7,2.33,38.52,635.0,0.327
4261.0,4.641,0.633,0,12.03987488,2.7363,1250.6,2.18,15.06,502.0,0.286
4261.0,4.641,0.633,0,20.83762895,2.3734,439.0,1.42,7.24,418.0,0.706
6200.0,3.8,2.404,0,8.8111022,5.0683,401.1,63.66,904.92,1399.0,1.223
4919.0,4.566,0.721,0,23.58917143,5.073,1200.7,3.16,13.34,487.0,0.926
5945.0,4.213,1.302,0,6.481633073,3.784,298.5,2.54,406.25,1145.0,0.833
5121.0,4.457,0.888,0,10.37168928,3.035,1254.9,3.2,63.68,720.0,0.537
5121.0,4.457,0.888,0,3.96996298,1.1757,299.2,1.78,229.37,992.0,0.836
6007.0,4.457,0.961,0,4.40841331,5.012,549.4,2.66,398.0,1139.0,0.899
5811.0,4.521,0.926,0,7.9426176,6.703,1590.7,4.68,140.57,878.0,0.942
5067.0,4.585,0.75,0,226.8904775,7.558,3136.4,4.53,0.73,236.0,0.731
5209.0,4.657,0.603,0,1.956811408,2.1958,24905.0,21.58,357.16,1109.0,1.091
4820.0,4.667,0.639,0,2.688899233,2.11275,37492.0,12.04,175.76,929.0,0.001
5097.0,4.597,0.779,0,9.439459486,2.8979,3036.1,4.16,52.32,686.0,0.049
5644.0,4.162,1.411,0,11.523067458,3.8757,507.3,3.13,174.81,927.0,0.0
5097.0,4.597,0.779,0,20.47748843,2.8364,1382.4,2.92,18.65,530.0,0.497
5097.0,4.597,0.779,0,3.336123113,1.9616,516.3,1.74,209.79,970.0,0.252
3713.0,4.779,0.47,0,8.01078456,2.312,1333.6,1.72,9.9,453.0,0.192
3713.0,4.779,0.47,0,12.07134205,4.3224,759.2,1.29,5.74,395.0,0.014
3713.0,4.779,0.47,0,20.99587872,2.6333,767.3,1.3,2.74,328.0,0.228
5849.0,4.517,0.919,0,7.41113177,2.5242,620.5,2.45,158.11,905.0,0.712
5472.0,4.499,0.79,0,1.000747038,0.9967,1823.5,4.14,1635.2,1620.0,0.908
5332.0,4.5,0.843,0,8.884922995,2.07004,16053.0,10.51,83.21,770.0,0.069
6214.0,4.442,1.076,0,8.09888906,4.20241,6911.1,8.95,223.19,986.0,0.018
6063.0,4.47,1.001,0,10.00653012,5.344,936.1,3.52,139.21,876.0,0.862
6823.0,4.308,1.367,0,17.855221681,7.41287,9065.2,13.16,163.04,911.0,0.075
3950.0,4.721,0.541,0,12.732624065,2.2083,6465.7,4.87,8.22,432.0,0.811
3960.0,4.746,0.509,0,83.92494032,6.7904,7958.7,4.78,0.62,226.0,0.658
5865.0,4.563,0.827,0,5.007316661,4.2362,6932.3,6.96,234.28,998.0,0.344
4500.0,4.656,0.646,0,2.211116989,1.6485,724.2,1.85,177.19,931.0,0.69
4500.0,4.656,0.646,0,27.9541337,3.95,942.5,1.9,6.04,400.0,0.063
5869.0,4.024,1.626,0,12.69104387,3.7727,252.1,2.57,244.3,1008.0,0.008
5600.0,4.368,0.975,0,4.409409243,3.8636,12861.0,10.95,347.06,1101.0,0.028
5191.0,4.564,0.837,0,16.23947096,4.0374,2590.7,4.14,30.14,598.0,0.043
5191.0,4.564,0.837,0,6.308201629,2.9785,1328.5,2.96,106.44,819.0,0.03
5855.0,4.393,1.08,0,2.052349884,2.0778,14281.0,13.12,1183.18,1497.0,0.437
3906.0,4.73,0.509,0,9.7704486,2.4517,1897.8,2.23,10.59,460.0,0.09
3906.0,4.73,0.509,0,5.169804269,2.153,1037.4,1.66,24.75,569.0,0.351
5945.0,4.213,1.302,0,21.22261195,6.5093,366.0,2.48,83.56,771.0,0.02
3906.0,4.73,0.509,0,20.09017037,4.154,1432.1,2.25,4.05,362.0,0.886
3561.0,4.855,0.411,0,7.11373257,2.1764,807.6,1.16,8.01,429.0,0.334
3561.0,4.855,0.411,0,3.306551643,1.8177,509.2,0.91,22.19,554.0,0.001
3561.0,4.855,0.411,0,15.36845737,2.4714,756.1,1.11,2.86,332.0,0.115
5942.0,4.327,1.142,0,13.81020318,3.048,1309.7,4.56,113.75,833.0,0.791
6077.0,4.471,0.999,0,4.093578461,2.5833,538.6,2.85,461.07,1182.0,0.93
6077.0,4.471,0.999,0,105.145959,8.593,685.4,3.43,6.09,401.0,0.964
4201.0,4.682,0.591,0,10.8484518,2.9993,1675.6,2.34,14.66,499.0,0.21
4201.0,4.682,0.591,0,6.66833241,1.915,362.3,1.18,28.06,587.0,0.644
5655.0,4.581,0.794,0,4.082274889,3.23015,17859.0,10.55,251.48,1016.0,0.093
5662.0,4.61,0.738,0,3.886655224,3.1646,581.6,1.87,246.29,1010.0,0.649
4500.0,4.656,0.646,0,42.1406089,5.083,895.5,1.85,3.49,349.0,0.045
4500.0,4.656,0.646,0,4.617490562,2.2618,575.8,1.62,66.47,728.0,0.649
4500.0,4.656,0.646,0,10.19849255,2.4283,634.1,1.75,23.11,559.0,0.714
5865.0,4.563,0.827,0,5.795063956,3.2496,1692.9,4.33,192.74,950.0,0.949
5029.0,4.494,0.838,0,7.15681552,2.5882,867.0,2.47,88.23,782.0,0.45
5029.0,4.494,0.838,0,17.64830851,2.0873,763.3,2.43,26.49,579.0,0.653
5029.0,4.494,0.838,0,4.14810719,2.535,175.2,1.08,182.76,938.0,0.093
5527.0,4.488,0.866,0,16.51410989,4.1575,973.5,2.72,43.57,655.0,0.395
5527.0,4.488,0.866,0,30.1329298,5.172,1015.8,3.14,19.55,536.0,0.839
5527.0,4.488,0.866,0,4.79090809,2.603,251.3,1.36,227.24,990.0,0.11
5869.0,4.024,1.626,0,31.71981013,4.819,363.4,3.09,71.97,743.0,0.125
